Job Name,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Description,Bid Destination
BCP1,,,21:00,21:00,21:00,22:00,22:00,Mon: BETPA>Shift>REAPA>BETPA>Shift>CRLPA>BETPA Tue-Wed: BETPA>ALLPA>CRLPA>BETPA>CRLPA>BETPA Thu-Fri: BETPA>CRLPA>BETPA,CRLPA
BEN2,,,21:00,21:00,21:00,,22:00,Mon: BETPA>NEWPA>BETPA Tue-Wed: BETPA>SYRNY>BETPA Fri: BETPA>EZRPA>BETPA>HBGRR>EZRPA>AMMPA>BETPA,NEWPA
BHA2,,,21:00,21:00,21:00,21:00,21:00,Mon: BETPA>STRCT>EASNJ>PARNJ>ALLPA>BETPA Tue-Fri: BETPA>STRCT>PARNJ>ALLPA>BETPA,STRCT
BM43,,,21:00,21:00,21:00,21:00,21:00,"Mon: BETPA>M43NY>BETPA>WCHPA>BETPA Tue, Fri, Thu: BETPA>BAYNJ>BETPA>Shift>WCHPA>BETPA Wed: BETPA>BAYNJ>BETPA>WCHPA>BETPA",M43NY
BSY1,,,21:00,21:00,21:00,21:00,21:00,Mon: BETPA>ALBNY>OLPPA>BETPA Tue-Wed: BETPA>ALBNY>BETPA Thu-Fri: BETPA>SYRNY>BETPA,ALBNY
BSY2,,,21:00,21:00,21:00,,21:00,"Mon, Wed, Fri, Tue: BETPA>SYRNY>BETPA",SYRNY
BWA1,,,21:00,21:00,21:00,21:00,21:00,Mon-Fri: BETPA>WATCT>BETPA,WATCT
BWIL,,,21:00,21:00,21:00,21:00,20:45,Mon: BETPA>OREPA>BURMD>EZRPA>BETPA Tue: BETPA>TOMVA>BETPA Wed: BETPA>WILPA>BETPA Thu: BETPA>HBGRR>EZRPA>WCHPA>WILPA>BETPA Fri: BETPA>BURMD>HBGRR>EZRPA>BETPA,TOMVA
LV39,,,21:00,21:00,21:00,21:00,,Mon-Thu: BETPA>HARCT>BETPA>Shift,HARCT
LV50,,,21:00,21:00,21:00,21:00,21:00,Mon: BETPA>BURMD>HBGRR>BETPA Tue-Wed: BETPA>OREPA>BETPA>TEN1>BETPA Thu: BETPA>OREPA>BETPA>EZRPA>BETPA Fri: BETPA>OREPA>BURMD>RUTPA>EZRPA>BETPA,BURMD
LV62,,,21:00,21:00,21:00,21:00,21:00,Mon: BETPA>BURMD>EZRPA>BETPA Tue-Thu: BETPA>BURMD>LANPA>BETPA Fri: BETPA>BURMD>CRLPA>BETPA,BURMD
LV69,,,21:00,21:00,21:00,21:00,,"Mon: BETPA>PRORI>BETPA Tue, Thu: BETPA>EZRPA>ALLPA>BETPA>HBGRR>EZRPA>BETPA Wed: BETPA>HBGRR>EZRPA>BETPA",PRORI
LV74,,,21:00,21:00,21:00,21:00,21:00,Mon: BETPA>PHLPA>BETPA>Shift>PHLPA>BETPA Tue-Wed: BETPA>ALLPA>PHLPA>BETPA>PHLPA>BETPA Thu-Fri: BETPA>ALLPA>PHLPA>BETPA>Shift>PHLPA>BETPA,PHLPA
LV78,,,21:00,22:00,22:00,22:00,22:00,Mon: BETPA>EZRPA>HBGRR>BETPA>HBGRR>BETPA Tue: BETPA>NOBG>MEANJ>BETPA>EZRPA>AMMPA>BETPA Wed: BETPA>EZRPA>BETPA>HBGRR>BETPA Fri: BETPA>WBAPA>BETPA,EZRPA
LV86,,,21:00,21:00,21:00,21:00,21:00,Mon: BETPA>NOBG>MEANJ>BETPA>Shift>REAPA>QVBPA>BETPA Tue-Wed: BETPA>MQUNY>ISLNY>BETPA>REAPA>QVBPA>BETPA Thu: BETPA>STRCT>BETPA,EZRPA
BCT2,,,21:15,21:15,21:15,21:15,21:15,Mon: BETPA>BURMD>EZRPA>BETPA Tue-Fri: BETPA>STRCT>BETPA>Shift,STRCT
BE10,,,21:15,21:15,21:15,21:15,21:15,"Mon: BETPA>MEANJ>BETPA>Shift>EZRPA>AMMPA>BETPA Tue: BETPA>MEANJ>BETPA>HBGRR>EZRPA>BETPA Wed, Fri: BETPA>MEANJ>BETPA>RUTPA>EZRPA>BETPA Thu: BETPA>MEANJ>BETPA",EZRPA
BHA3,,,21:15,21:15,21:00,,21:00,"Mon, Wed: BETPA>STRCT>BETPA>ALLPA>BETPA Tue: BETPA>STRCT>BETPA Fri: BETPA>BURMD>RUTPA>BETPA",BURMD
BBB3,,,3:15,3:15,3:15,3:30,3:15,Tue: BETPA>BOMD>BALMD>EZRPA>BETPA Wed: BETPA>BOMD>BALMD>BETPA Thu: BETPA>BOMD>HALMD>BETPA Fri: BETPA>Shift>BURMD>HGR2>EZRPA>BETPA Sat: BETPA>Shift>NEWPA>BETPA,NEWPA
BEP1,,,3:30,3:30,3:30,3:30,3:30,Tue: BETPA>UNXPA>BETPA>Shift Wed-Fri: BETPA>EZRPA>BETPA>UNXPA>BETPA>Shift Sat: BETPA>EZRPA>MDTAS>ALLPA>MDTAS>BETPA,MDTAS
LV03,,,3:30,3:30,3:30,3:30,3:30,"Tue, Fri: BETPA>NWTVA>BETPA Wed: BETPA>NWTVA>EZRPA>ALLPA>BETPA Thu: BETPA>NWTVA>EZRPA>BETPA Sat: BETPA>NWTVA>EZRPA>BETPA",NWTVA
BRO1,,,3:30,3:30,3:30,3:30,3:30,Tue-Fri: BETPA>HBGRR>EZRPA>BETPA>EZRPA>BETPA,NWTVA
BEJ1,,,3:30,,3:30,3:30,3:30,Tue-Fri: BETPA>OREPA>BETPA>KIMPA>BETPA Sat: BETPA>OREPA>BETPA>TEN1>BETPA,OREPA
BEDU,,,3:30,5:45,,5:45,6:50,"Tue: BETPA>BOMD>BURMD>BETPA Wed, Sat, Fri: BETPA>DUBPA>BETPA",DUBPA
