id,created_at,name,numSlic,alphaSlic,street,city,state,zip,instructions
43,2023-11-15 05:22:30.687119+00,Bikes USA,18BI,BIKPA,2811 Brodhead Rd,Bethlehem,PA,18020,
44,2023-11-15 05:22:30.687119+00,Breakers,18BKR,BKRPA,155 Nestle Way,Breiningsville,PA,18031,
45,2023-11-15 05:22:30.687119+00,Blue Buffalo,18BLB,BLBPA,1350 Moosic Lake Rd,Jessup,PA,18434,
46,2023-11-15 05:22:30.687119+00,Blue Ridge,18BLR,BLRPA,7663 Industrial Blvd,Allentown,PA,18106,
47,2023-11-15 05:22:30.687119+00,Bake Me a Wish,18BMW,BMWPA,125 Seneca Trl,Boyertown,PA,19512,
48,2023-11-15 05:22:30.687119+00,Brandshopper,18BNS,BNSPA,6771 Chrisphalt Dr,Bath,PA,18014,
49,2023-11-15 05:22:30.687119+00,Shipbob,18BOB,BOBPA,2625 Brodhead Rd,Bethlehem,PA,18020,
50,2023-11-15 05:22:30.687119+00,Beck Packaging,18BPC,BPCPA,200 Cascade Dr,Allentown,PA,18104,
51,2023-11-15 05:22:30.687119+00,Black Tux,18BT,BTXPA,105 Research Dr,Pittston,PA,18640,
52,2023-11-15 05:22:30.687119+00,Bugs,18BU,BUGPA,2200 Wassergass Rd,Hellertown,PA,18055,
53,2023-11-15 05:22:30.687119+00,Boaden,18BW,BOAPA,180 Armstrong Rd,Jenkins Township,PA,18640,
54,2023-11-15 05:22:30.687119+00,Caps,18CA,CAPPA,6845 Snowdrift Rd,Allentown,PA,18106,
55,2023-11-15 05:22:30.687119+00,Casper,18CAS,CPRPA,7189 Ambassador Dr,Allentown,PA,18106,
57,2023-11-15 05:22:30.687119+00,Coca-Cola,18CK,COKPA,400 Boulder Dr,Breiningsville,PA,18031,
58,2023-11-15 05:22:30.687119+00,Cold Chain,18CLD,CLDPA,2600 Saucon Valley Rd,Center Valley,PA,18034,
59,2023-11-15 05:22:30.687119+00,Caremark,18CM,CRMPA,1 Great Valley Blvd,Wilkes-Barre,PA,18706,
60,2023-11-15 05:22:30.687119+00,Camper Atlantic,18CMP,CMPPA,1520 Van Buren Rd,Easton,PA,18045,
61,2023-11-15 05:22:30.687119+00,Continental,18CNS,CNSPA,6755 Snowdrift Rd,Allentown,PA,18106,
62,2023-11-15 05:22:30.687119+00,Costco,18CO,COSPA,211 Logistics Dr,Shoemakersville,PA,19555,
63,2023-11-15 05:22:30.687119+00,Continental,18COG,COGPA,6670 Grant Way,Allentown,PA,18106,
64,2023-11-15 05:22:30.687119+00,Campania,18CPN,CPNPA,2452 Quakertown Rd,Pennsburg,PA,18073,
65,2023-11-15 05:22:30.687119+00,Carpenter,18CR,CRRPA,57A Olin Way,Fogelsville,PA,18051,
66,2023-11-15 05:22:30.687119+00,Conri,18CR2,CR2PA,650 Male Rd,Wind Gap,PA,18091,
67,2023-11-15 05:22:30.687119+00,Conri,18CRS,CRSPA,450 E Moorestown Rd,Wind Gap,PA,18091,
68,2023-11-15 05:22:30.687119+00,Calstar,18CS,CALPA,279 P&G Warehouse Way,Tunkhannock,PA,18657,
69,2023-11-15 05:22:30.687119+00,Cooper Tire,18CT,COTPA,8000 Quarry Rd,Alburtis,PA,18011,
70,2023-11-15 05:22:30.687119+00,Crayola,18CY,CRYPA,3025 Commerce Center Blvd,Bethlehem,PA,18015,
